city1,city2
"Minneapolis/St. Paul, MN","Phoenix, AZ"
"Phoenix, AZ","Washington, DC (Metropolitan Area)"
"Denver, CO","Orlando, FL"
"Atlanta, GA (Metropolitan Area)","Las Vegas, NV"
"Boston, MA (Metropolitan Area)","Fort Myers, FL"
"Austin, TX","San Francisco, CA (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Denver, CO"
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Philadelphia, PA"
"Nashville, TN","Washington, DC (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","San Francisco, CA (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN"
"Minneapolis/St. Paul, MN","Orlando, FL"
"Boston, MA (Metropolitan Area)","Raleigh/Durham, NC"
"Austin, TX","Chicago, IL"
"Las Vegas, NV","Miami, FL (Metropolitan Area)"
"Las Vegas, NV","Minneapolis/St. Paul, MN"
"San Diego, CA","Washington, DC (Metropolitan Area)"
"Chicago, IL","Fort Myers, FL"
"Jacksonville, FL","New York City, NY (Metropolitan Area)"
"Phoenix, AZ","Portland, OR"
"Dallas/Fort Worth, TX","Houston, TX"
"Detroit, MI","Los Angeles, CA (Metropolitan Area)"
"Denver, CO","San Diego, CA"
"Detroit, MI","Washington, DC (Metropolitan Area)"
"Houston, TX","San Francisco, CA (Metropolitan Area)"
"Chicago, IL","San Diego, CA"
"Salt Lake City, UT","San Francisco, CA (Metropolitan Area)"
"Chicago, IL","Nashville, TN"
"Las Vegas, NV","Sacramento, CA"
"Boston, MA (Metropolitan Area)","West Palm Beach/Palm Beach, FL"
"Boston, MA (Metropolitan Area)","Seattle, WA"
"Boston, MA (Metropolitan Area)","Las Vegas, NV"
"Philadelphia, PA","Tampa, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","San Diego, CA"
"Boston, MA (Metropolitan Area)","Nashville, TN"
"Detroit, MI","Las Vegas, NV"
"Atlanta, GA (Metropolitan Area)","Detroit, MI"
"Las Vegas, NV","Portland, OR"
"Las Vegas, NV","San Diego, CA"
"Las Vegas, NV","Phoenix, AZ"
"Boston, MA (Metropolitan Area)","Phoenix, AZ"
"Denver, CO","Miami, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Philadelphia, PA"
"Austin, TX","Denver, CO"
"Indianapolis, IN","New York City, NY (Metropolitan Area)"
"Charlotte, NC","Washington, DC (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","Raleigh/Durham, NC"
"Charlotte, NC","Chicago, IL"
"Atlanta, GA (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"New York City, NY (Metropolitan Area)","Salt Lake City, UT"
"Buffalo, NY","New York City, NY (Metropolitan Area)"
"Cleveland, OH (Metropolitan Area)","Orlando, FL"
"Charlotte, NC","Miami, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)"
"New Orleans, LA","Washington, DC (Metropolitan Area)"
"New York City, NY (Metropolitan Area)","St. Louis, MO"
"Boston, MA (Metropolitan Area)","Charlotte, NC"
"New York City, NY (Metropolitan Area)","Pittsburgh, PA"
"Phoenix, AZ","Salt Lake City, UT"
"Dallas/Fort Worth, TX","Nashville, TN"
"Columbus, OH","New York City, NY (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","San Diego, CA"
"Boston, MA (Metropolitan Area)","Houston, TX"
"Houston, TX","Phoenix, AZ"
"Denver, CO","Salt Lake City, UT"
"Dallas/Fort Worth, TX","Detroit, MI"
"Austin, TX","Washington, DC (Metropolitan Area)"
"Hartford, CT","Orlando, FL"
"Philadelphia, PA","San Francisco, CA (Metropolitan Area)"
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)"
"Denver, CO","Philadelphia, PA"
"Miami, FL (Metropolitan Area)","Nashville, TN"
"Minneapolis/St. Paul, MN","San Francisco, CA (Metropolitan Area)"
"Orlando, FL","San Francisco, CA (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Seattle, WA"
"Las Vegas, NV","Philadelphia, PA"
"Phoenix, AZ","San Diego, CA"
"Charlotte, NC","Dallas/Fort Worth, TX"
"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN"
"Atlanta, GA (Metropolitan Area)","Phoenix, AZ"
"Austin, TX","Las Vegas, NV"
"Nashville, TN","Orlando, FL"
"Detroit, MI","Tampa, FL (Metropolitan Area)"
"Charlotte, NC","Los Angeles, CA (Metropolitan Area)"
"Orlando, FL","Raleigh/Durham, NC"
"Denver, CO","Tampa, FL (Metropolitan Area)"
"Sacramento, CA","Seattle, WA"
"Boston, MA (Metropolitan Area)","Detroit, MI"
"Chicago, IL","Raleigh/Durham, NC"
"Cincinnati, OH","New York City, NY (Metropolitan Area)"
"Indianapolis, IN","Orlando, FL"
"St. Louis, MO","Washington, DC (Metropolitan Area)"
"Detroit, MI","Phoenix, AZ"
"Denver, CO","Portland, OR"
"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN"
"Dallas/Fort Worth, TX","Salt Lake City, UT"
"Los Angeles, CA (Metropolitan Area)","New Orleans, LA"
"Washington, DC (Metropolitan Area)","West Palm Beach/Palm Beach, FL"
"Chicago, IL","New Orleans, LA"
"Salt Lake City, UT","Seattle, WA"
"Orlando, FL","Seattle, WA"
"New York City, NY (Metropolitan Area)","Savannah, GA"
"Minneapolis/St. Paul, MN","Seattle, WA"
"Jacksonville, FL","Washington, DC (Metropolitan Area)"
"Orlando, FL","Pittsburgh, PA"
"Las Vegas, NV","Orlando, FL"
"New York City, NY (Metropolitan Area)","Portland, OR"
"Denver, CO","Detroit, MI"
"Denver, CO","Nashville, TN"
"Houston, TX","Seattle, WA"
"Los Angeles, CA (Metropolitan Area)","San Antonio, TX"
"Detroit, MI","Houston, TX"
"Austin, TX","Boston, MA (Metropolitan Area)"
"Orlando, FL","Phoenix, AZ"
"Dallas/Fort Worth, TX","New Orleans, LA"
"Miami, FL (Metropolitan Area)","Phoenix, AZ"
"Cincinnati, OH","Orlando, FL"
"Charlotte, NC","Orlando, FL"
"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN"
"New York City, NY (Metropolitan Area)","Sarasota/Bradenton, FL"
"Orlando, FL","St. Louis, MO"
"Miami, FL (Metropolitan Area)","Seattle, WA"
"Fort Myers, FL","Minneapolis/St. Paul, MN"
"Las Vegas, NV","Reno, NV"
"Los Angeles, CA (Metropolitan Area)","Reno, NV"
"Chicago, IL","Kansas City, MO"
"Boston, MA (Metropolitan Area)","Charleston, SC"
"San Antonio, TX","Washington, DC (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","Minneapolis/St. Paul, MN"
"Charleston, SC","Washington, DC (Metropolitan Area)"
"Austin, TX","Orlando, FL"
"Houston, TX","Philadelphia, PA"
"Atlanta, GA (Metropolitan Area)","Austin, TX"
"Detroit, MI","San Francisco, CA (Metropolitan Area)"
"Portland, OR","San Diego, CA"
"Buffalo, NY","Orlando, FL"
"Chicago, IL","Portland, OR"
"Myrtle Beach, SC","New York City, NY (Metropolitan Area)"
"Salt Lake City, UT","Washington, DC (Metropolitan Area)"
"Nashville, TN","Philadelphia, PA"
"Austin, TX","Miami, FL (Metropolitan Area)"
"Houston, TX","New Orleans, LA"
"Dallas/Fort Worth, TX","Kansas City, MO"
"Austin, TX","Seattle, WA"
"Kansas City, MO","Los Angeles, CA (Metropolitan Area)"
"Dallas/Fort Worth, TX","Raleigh/Durham, NC"
"Boise, ID","Los Angeles, CA (Metropolitan Area)"
"Phoenix, AZ","Sacramento, CA"
"Philadelphia, PA","Phoenix, AZ"
"Indianapolis, IN","Washington, DC (Metropolitan Area)"
"Columbus, OH","Orlando, FL"
"Dallas/Fort Worth, TX","St. Louis, MO"
"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"Austin, TX","Phoenix, AZ"
"Las Vegas, NV","Salt Lake City, UT"
"Denver, CO","Kansas City, MO"
"Cleveland, OH (Metropolitan Area)","Miami, FL (Metropolitan Area)"
"Charlotte, NC","Philadelphia, PA"
"Minneapolis/St. Paul, MN","Tampa, FL (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","New Orleans, LA"
"Kansas City, MO","Washington, DC (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Raleigh/Durham, NC"
"Los Angeles, CA (Metropolitan Area)","St. Louis, MO"
"Charlotte, NC","Denver, CO"
"Kansas City, MO","New York City, NY (Metropolitan Area)"
"Houston, TX","Tampa, FL (Metropolitan Area)"
"Houston, TX","Nashville, TN"
"Denver, CO","St. Louis, MO"
"Detroit, MI","Fort Myers, FL"
"Fort Myers, FL","Washington, DC (Metropolitan Area)"
"Orlando, FL","Salt Lake City, UT"
"Salt Lake City, UT","San Diego, CA"
"Raleigh/Durham, NC","Washington, DC (Metropolitan Area)"
"Dallas/Fort Worth, TX","San Antonio, TX"
"Boston, MA (Metropolitan Area)","Pittsburgh, PA"
"Indianapolis, IN","Miami, FL (Metropolitan Area)"
"Kansas City, MO","Orlando, FL"
"New Orleans, LA","Orlando, FL"
"Cincinnati, OH","Miami, FL (Metropolitan Area)"
"Las Vegas, NV","Tampa, FL (Metropolitan Area)"
"Nashville, TN","Tampa, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Indianapolis, IN"
"Charlotte, NC","Houston, TX"
"Las Vegas, NV","San Antonio, TX"
"Atlanta, GA (Metropolitan Area)","San Diego, CA"
"Cleveland, OH (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"Chicago, IL","Detroit, MI"
"Denver, CO","Indianapolis, IN"
"Charlotte, NC","Las Vegas, NV"
"Chicago, IL","Cleveland, OH (Metropolitan Area)"
"Indianapolis, IN","Los Angeles, CA (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Raleigh/Durham, NC"
"Dallas/Fort Worth, TX","Portland, OR"
"Boston, MA (Metropolitan Area)","Jacksonville, FL"
"New York City, NY (Metropolitan Area)","San Antonio, TX"
"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)"
"Philadelphia, PA","West Palm Beach/Palm Beach, FL"
"Miami, FL (Metropolitan Area)","Pittsburgh, PA"
"Nashville, TN","Phoenix, AZ"
"Nashville, TN","San Francisco, CA (Metropolitan Area)"
"Minneapolis/St. Paul, MN","Nashville, TN"
"Austin, TX","Nashville, TN"
"Boston, MA (Metropolitan Area)","New Orleans, LA"
"Columbus, OH","Miami, FL (Metropolitan Area)"
"Nashville, TN","Seattle, WA"
"Chicago, IL","Salt Lake City, UT"
"Austin, TX","San Diego, CA"
"Atlanta, GA (Metropolitan Area)","New Orleans, LA"
"Minneapolis/St. Paul, MN","San Diego, CA"
"Houston, TX","San Diego, CA"
"Las Vegas, NV","Nashville, TN"
"Hartford, CT","Miami, FL (Metropolitan Area)"
"Cleveland, OH (Metropolitan Area)","Las Vegas, NV"
"Milwaukee, WI","Orlando, FL"
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)"
"Palm Springs, CA","San Francisco, CA (Metropolitan Area)"
"Chicago, IL","Columbus, OH"
"Cleveland, OH (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)"
"Boise, ID","Seattle, WA"
"Boston, MA (Metropolitan Area)","Salt Lake City, UT"
"Houston, TX","Minneapolis/St. Paul, MN"
"Denver, CO","Sacramento, CA"
"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)"
"Indianapolis, IN","Las Vegas, NV"
"Denver, CO","San Antonio, TX"
"Fort Myers, FL","Philadelphia, PA"
"New York City, NY (Metropolitan Area)","Sacramento, CA"
"Charlotte, NC","Phoenix, AZ"
"Cleveland, OH (Metropolitan Area)","Fort Myers, FL"
"Kansas City, MO","Phoenix, AZ"
"Portland, OR","Washington, DC (Metropolitan Area)"
"Detroit, MI","Minneapolis/St. Paul, MN"
"New York City, NY (Metropolitan Area)","Richmond, VA"
"Chicago, IL","Pittsburgh, PA"
"Denver, CO","Raleigh/Durham, NC"
"Las Vegas, NV","St. Louis, MO"
"Indianapolis, IN","Tampa, FL (Metropolitan Area)"
"Detroit, MI","Seattle, WA"
"Columbus, OH","Washington, DC (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","St. Louis, MO"
"Orlando, FL","Richmond, VA"
"Detroit, MI","Nashville, TN"
"Dallas/Fort Worth, TX","El Paso, TX"
"Portland, OR","Sacramento, CA"
"Pittsburgh, PA","Tampa, FL (Metropolitan Area)"
"Orlando, FL","San Diego, CA"
"Charlotte, NC","Minneapolis/St. Paul, MN"
"Chicago, IL","San Antonio, TX"
"Philadelphia, PA","Seattle, WA"
"Minneapolis/St. Paul, MN","Portland, OR"
"Charlotte, NC","Detroit, MI"
"Portland, OR","Salt Lake City, UT"
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)"
"Hartford, CT","Washington, DC (Metropolitan Area)"
"Philadelphia, PA","Raleigh/Durham, NC"
"Cleveland, OH (Metropolitan Area)","Dallas/Fort Worth, TX"
"Philadelphia, PA","San Diego, CA"
"Atlanta, GA (Metropolitan Area)","West Palm Beach/Palm Beach, FL"
"Charlotte, NC","San Francisco, CA (Metropolitan Area)"
"Charlotte, NC","Tampa, FL (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","St. Louis, MO"
"Detroit, MI","Philadelphia, PA"
"Columbus, OH","Los Angeles, CA (Metropolitan Area)"
"Minneapolis/St. Paul, MN","Philadelphia, PA"
"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA"
"Raleigh/Durham, NC","Tampa, FL (Metropolitan Area)"
"Phoenix, AZ","St. Louis, MO"
"Atlanta, GA (Metropolitan Area)","Indianapolis, IN"
"Cincinnati, OH","Washington, DC (Metropolitan Area)"
"Houston, TX","Midland/Odessa, TX"
"Seattle, WA","Tampa, FL (Metropolitan Area)"
"Cincinnati, OH","Tampa, FL (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Savannah, GA"
"Los Angeles, CA (Metropolitan Area)","Spokane, WA"
"Sacramento, CA","Washington, DC (Metropolitan Area)"
"Kansas City, MO","Las Vegas, NV"
"Houston, TX","St. Louis, MO"
"Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","San Diego, CA"
"Atlanta, GA (Metropolitan Area)","Pittsburgh, PA"
"Atlanta, GA (Metropolitan Area)","San Antonio, TX"
"Atlanta, GA (Metropolitan Area)","Columbus, OH"
"Atlanta, GA (Metropolitan Area)","Salt Lake City, UT"
"Boston, MA (Metropolitan Area)","Portland, OR"
"Atlanta, GA (Metropolitan Area)","Kansas City, MO"
"Boston, MA (Metropolitan Area)","Richmond, VA"
"Houston, TX","Salt Lake City, UT"
"Denver, CO","New Orleans, LA"
"Las Vegas, NV","Raleigh/Durham, NC"
"Dallas/Fort Worth, TX","Sacramento, CA"
"Albany, NY","Orlando, FL"
"Chicago, IL","St. Louis, MO"
"Miami, FL (Metropolitan Area)","Salt Lake City, UT"
"Milwaukee, WI","Washington, DC (Metropolitan Area)"
"Hartford, CT","Tampa, FL (Metropolitan Area)"
"Cleveland, OH (Metropolitan Area)","Denver, CO"
"Greenville/Spartanburg, SC","New York City, NY (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Myrtle Beach, SC"
"Orlando, FL","San Antonio, TX"
"New Orleans, LA","San Francisco, CA (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)"
"Chicago, IL","Hartford, CT"
"Jacksonville, FL","Philadelphia, PA"
"Charlotte, NC","Nashville, TN"
"Greensboro/High Point, NC","New York City, NY (Metropolitan Area)"
"Louisville, KY","New York City, NY (Metropolitan Area)"
"Phoenix, AZ","Tampa, FL (Metropolitan Area)"
"Seattle, WA","Spokane, WA"
"Boise, ID","San Francisco, CA (Metropolitan Area)"
"Cincinnati, OH","Denver, CO"
"Milwaukee, WI","Phoenix, AZ"
"Omaha, NE","Phoenix, AZ"
"Columbus, OH","Dallas/Fort Worth, TX"
"Milwaukee, WI","New York City, NY (Metropolitan Area)"
"Chicago, IL","Jacksonville, FL"
"Indianapolis, IN","Phoenix, AZ"
"New York City, NY (Metropolitan Area)","Rochester, NY"
"Boston, MA (Metropolitan Area)","Sarasota/Bradenton, FL"
"Palm Springs, CA","Seattle, WA"
"Houston, TX","Kansas City, MO"
"Cincinnati, OH","Dallas/Fort Worth, TX"
"Savannah, GA","Washington, DC (Metropolitan Area)"
"San Francisco, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Santa Rosa, CA"
"Austin, TX","Philadelphia, PA"
"Las Vegas, NV","Pittsburgh, PA"
"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)"
"Dallas/Fort Worth, TX","Pittsburgh, PA"
"Boston, MA (Metropolitan Area)","St. Louis, MO"
"Houston, TX","Raleigh/Durham, NC"
"Detroit, MI","San Diego, CA"
"Nashville, TN","Raleigh/Durham, NC"
"Charleston, SC","Chicago, IL"
"Cleveland, OH (Metropolitan Area)","Phoenix, AZ"
"Chicago, IL","West Palm Beach/Palm Beach, FL"
"Austin, TX","Dallas/Fort Worth, TX"
"Kansas City, MO","Miami, FL (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Provo, UT"
"Raleigh/Durham, NC","Seattle, WA"
"Albuquerque, NM","Phoenix, AZ"
"Chicago, IL","Sacramento, CA"
"Atlanta, GA (Metropolitan Area)","Hartford, CT"
"Las Vegas, NV","Milwaukee, WI"
"Denver, CO","Milwaukee, WI"
"Boston, MA (Metropolitan Area)","Indianapolis, IN"
"Memphis, TN","New York City, NY (Metropolitan Area)"
"Boise, ID","Phoenix, AZ"
"Boston, MA (Metropolitan Area)","Columbus, OH"
"Louisville, KY","Washington, DC (Metropolitan Area)"
"El Paso, TX","Los Angeles, CA (Metropolitan Area)"
"New York City, NY (Metropolitan Area)","Portland, ME"
"Cincinnati, OH","Las Vegas, NV"
"Columbus, OH","Las Vegas, NV"
"Seattle, WA","St. Louis, MO"
"Portland, ME","Washington, DC (Metropolitan Area)"
"New Orleans, LA","Philadelphia, PA"
"Atlanta, GA (Metropolitan Area)","Portland, OR"
"Columbus, OH","Tampa, FL (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Cincinnati, OH"
"Phoenix, AZ","San Antonio, TX"
"Dallas/Fort Worth, TX","Jacksonville, FL"
"Cincinnati, OH","Los Angeles, CA (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","Richmond, VA"
"Kansas City, MO","Seattle, WA"
"Charlotte, NC","Seattle, WA"
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)"
"Austin, TX","Minneapolis/St. Paul, MN"
"Houston, TX","Oklahoma City, OK"
"Charleston, SC","Philadelphia, PA"
"Indianapolis, IN","San Francisco, CA (Metropolitan Area)"
"Cleveland, OH (Metropolitan Area)","Houston, TX"
"Austin, TX","Detroit, MI"
"Buffalo, NY","Tampa, FL (Metropolitan Area)"
"New Orleans, LA","Seattle, WA"
"Houston, TX","Portland, OR"
"Minneapolis/St. Paul, MN","Raleigh/Durham, NC"
"San Francisco, CA (Metropolitan Area)","St. Louis, MO"
"Austin, TX","New Orleans, LA"
"Nashville, TN","San Diego, CA"
"Houston, TX","Pittsburgh, PA"
"Minneapolis/St. Paul, MN","Salt Lake City, UT"
"Orlando, FL","Syracuse, NY"
"Dallas/Fort Worth, TX","Memphis, TN"
"Buffalo, NY","Miami, FL (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Tucson, AZ"
"Denver, CO","Oklahoma City, OK"
"Minneapolis/St. Paul, MN","St. Louis, MO"
"Denver, CO","Omaha, NE"
"Cleveland, OH (Metropolitan Area)","San Francisco, CA (Metropolitan Area)"
"Detroit, MI","Raleigh/Durham, NC"
"San Antonio, TX","Seattle, WA"
"Austin, TX","Tampa, FL (Metropolitan Area)"
"Chicago, IL","Memphis, TN"
"Albuquerque, NM","Las Vegas, NV"
"Houston, TX","Indianapolis, IN"
"Columbus, OH","Denver, CO"
"New York City, NY (Metropolitan Area)","Wilmington, NC"
"Orlando, FL","Portland, OR"
"Phoenix, AZ","Raleigh/Durham, NC"
"Denver, CO","Pittsburgh, PA"
"Miami, FL (Metropolitan Area)","San Antonio, TX"
"Atlanta, GA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)"
"Austin, TX","Portland, OR"
"Chicago, IL","Savannah, GA"
"Atlanta, GA (Metropolitan Area)","Richmond, VA"
"Albuquerque, NM","Washington, DC (Metropolitan Area)"
"Las Vegas, NV","New Orleans, LA"
"Memphis, TN","Washington, DC (Metropolitan Area)"
"Chicago, IL","Sarasota/Bradenton, FL"
"Kansas City, MO","Tampa, FL (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Jacksonville, FL"
"Austin, TX","Salt Lake City, UT"
"Boston, MA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Omaha, NE"
"Phoenix, AZ","Spokane, WA"
"Charlotte, NC","San Diego, CA"
"El Paso, TX","Houston, TX"
"Louisville, KY","Orlando, FL"
"Chicago, IL","Omaha, NE"
